iid,dataset,size,key,elapsed,result,target
140,ZKC,15,solve_ftapas_70,0.007961034774780273,12357,12410
1866,ZKW,4,solve_ftapas_50,0.000370025634765625,3300,3300
1491,ZKW,4,solve_ftapas_30,0.00035190582275390625,7713,7713
726,ZKW,4,solve_ftapas_30,0.00041604042053222656,3131,3131
319,NK,15,solve_ftapas_50,0.008666038513183594,6807,6807
3,ZKC,15,solve_ftapas_30,0.015399932861328125,12533,12533
209,NK,10,solve_ftapas_15,0.0040929317474365234,7204,7204
304,ZKC,27,solve_ftapas_30,0.05988502502441406,23790,23790
192,ZKC,25,solve_ftapas_15,0.08661603927612305,22063,22063
272,NK,4,solve_ftapas_50,0.00046324729919433594,3962,3962
365,NK,4,solve_ftapas_15,0.0006809234619140625,5608,5608
225,NK,4,solve_ftapas_70,0.00035309791564941406,3714,3714
398,ZKC,10,solve_ftapas_70,0.0019178390502929688,6013,6013
377,NK,10,solve_ftapas_15,0.008321046829223633,2294,2294
203,ZKC,20,solve_ftapas_30,0.024625062942504883,17196,17201
95,ZKC,25,solve_ftapas_30,0.04902911186218262,20438,20439
83,NK,27,solve_ftapas_30,0.05582165718078613,37404,37404
328,NK,25,solve_ftapas_15,0.07641816139221191,15532,15532
180,ZKC,4,solve_ftapas_15,0.0006783008575439453,3301,3301
35,ZKC,4,solve_ftapas_50,0.0003409385681152344,4058,4108
473,NK,15,solve_ftapas_70,0.006204128265380859,9260,9264
150,NK,10,solve_ftapas_15,0.009824037551879883,10354,10354
869,ZKW,22,solve_ftapas_30,0.013400793075561523,9210,9210
859,ZKW,25,solve_ftapas_70,0.025526046752929688,2082,2082
439,ZKC,25,solve_ftapas_70,0.024845123291015625,20344,20344
324,ZKC,4,solve_ftapas_50,0.0004010200500488281,3148,3148
38,NK,4,solve_ftapas_30,0.0004088878631591797,3414,3414
1991,ZKW,10,solve_ftapas_30,0.0012688636779785156,155890,155890
102,NK,4,solve_ftapas_50,0.0003170967102050781,3402,3402
80,NK,25,solve_ftapas_50,0.03358316421508789,18038,18038
288,ZKC,10,solve_ftapas_15,0.008108139038085938,9219,9233
308,ZKC,10,solve_ftapas_15,0.007830142974853516,9003,9028
367,NK,20,solve_ftapas_50,0.014107942581176758,20766,20766
236,NK,25,solve_ftapas_30,0.05153918266296387,29498,29498
41,NK,22,solve_ftapas_70,0.02068924903869629,20735,20735
257,ZKC,10,solve_ftapas_30,0.0049211978912353516,8217,8217
470,NK,10,solve_ftapas_30,0.005351066589355469,10023,10023
172,ZKC,4,solve_ftapas_15,0.0007750988006591797,3039,3039
47,ZKC,25,solve_ftapas_70,0.03865504264831543,24785,24785
488,ZKC,25,solve_ftapas_70,0.03506207466125488,21172,21261
471,ZKC,27,solve_ftapas_70,0.04108285903930664,24334,24346
90,ZKC,22,solve_ftapas_30,0.051527976989746094,21917,21917
210,ZKC,27,solve_ftapas_50,0.05381608009338379,22767,22805
474,ZKC,25,solve_ftapas_15,0.09202885627746582,20881,20881
253,ZKC,4,solve_ftapas_30,0.00041413307189941406,2191,2191
309,NK,4,solve_ftapas_15,0.000698089599609375,4642,4642
4,ZKC,22,solve_ftapas_15,0.07693314552307129,21505,21510
834,ZKW,15,solve_ftapas_15,0.015739917755126953,3934,3934
144,ZKC,20,solve_ftapas_50,0.020617961883544922,16422,16426
98,NK,27,solve_ftapas_50,0.04245901107788086,25631,25631
154,ZKC,22,solve_ftapas_30,0.04696488380432129,21813,21813
496,NK,25,solve_ftapas_30,0.05378293991088867,31212,31212
103,ZKC,22,solve_ftapas_15,0.0695338249206543,19742,19742
442,ZKC,25,solve_ftapas_15,0.08916401863098145,22153,22153
3,NK,4,solve_ftapas_50,0.0004429817199707031,0,0
440,NK,4,solve_ftapas_30,0.0003838539123535156,4421,4421
394,NK,10,solve_ftapas_70,0.002795696258544922,9150,9150
153,NK,15,solve_ftapas_70,0.008014202117919922,14377,14377
341,ZKC,10,solve_ftapas_15,0.009441852569580078,9993,9993
1877,ZKW,4,solve_ftapas_30,0.00030803680419921875,36518,36518
233,NK,4,solve_ftapas_70,0.0016460418701171875,5007,5007
179,ZKC,10,solve_ftapas_70,0.0025026798248291016,9299,9299
493,ZKC,15,solve_ftapas_30,0.015070199966430664,13385,13385
