iid,dataset,size,key,elapsed,result,target
58,ZKW,15,solve_ftapas_30,0.012757062911987305,2128,2128
147,NK,20,solve_ftapas_70,0.014681816101074219,7412,7412
1864,ZKW,4,solve_ftapas_30,0.00038123130798339844,4864,4864
32,ZKC,10,solve_ftapas_15,0.007676839828491211,8192,8207
108,ZKC,15,solve_ftapas_15,0.03032398223876953,14062,14062
440,ZKC,22,solve_ftapas_50,0.035758018493652344,21727,21727
117,ZKC,25,solve_ftapas_70,0.03907203674316406,22235,22265
1323,ZKW,20,solve_ftapas_70,0.012048959732055664,4883,4883
481,ZKC,22,solve_ftapas_70,0.025606870651245117,21892,21918
284,ZKC,27,solve_ftapas_70,0.041014671325683594,21859,21867
169,ZKC,4,solve_ftapas_30,0.00039887428283691406,2143,2143
1139,ZKW,10,solve_ftapas_30,0.003469705581665039,1367,1367
1258,ZKW,27,solve_ftapas_30,0.04321098327636719,6756,6884
47,ZKC,4,solve_ftapas_50,0.0003578662872314453,2648,2648
456,NK,15,solve_ftapas_30,0.015411138534545898,15161,15161
241,ZKC,27,solve_ftapas_50,0.055210113525390625,22087,22100
298,ZKC,10,solve_ftapas_15,0.009439945220947266,9817,9826
298,NK,4,solve_ftapas_15,0.0005209445953369141,3620,3620
472,ZKC,15,solve_ftapas_30,0.014268875122070312,11808,11822
433,ZKC,27,solve_ftapas_70,0.04889798164367676,26810,26838
147,ZKW,20,solve_ftapas_50,0.00999903678894043,7231,7231
34,ZKC,22,solve_ftapas_70,0.028556108474731445,22506,22539
358,ZKC,15,solve_ftapas_15,0.02593398094177246,10472,10472
116,NK,20,solve_ftapas_30,0.03694272041320801,24546,24546
214,NK,15,solve_ftapas_70,0.008222341537475586,21292,21292
91,ZKC,25,solve_ftapas_30,0.0848839282989502,22688,22688
39,NK,27,solve_ftapas_30,0.09690403938293457,27497,27497
121,NK,25,solve_ftapas_70,0.029591798782348633,28303,28303
270,NK,20,solve_ftapas_30,0.02958202362060547,22250,22250
1357,ZKW,15,solve_ftapas_15,0.02884197235107422,2190,2190
177,ZKC,22,solve_ftapas_30,0.05340409278869629,19016,19052
449,NK,4,solve_ftapas_70,0.0004029273986816406,3854,3854
1532,ZKW,4,solve_ftapas_70,0.00026607513427734375,6938,6938
447,NK,25,solve_ftapas_50,0.04089999198913574,11260,11260
492,NK,10,solve_ftapas_50,0.002711772918701172,7273,7273
452,NK,25,solve_ftapas_50,0.056524038314819336,31279,31279
634,ZKW,20,solve_ftapas_30,0.017544984817504883,6872,6872
31,ZKC,10,solve_ftapas_30,0.003944873809814453,7292,7292
123,NK,20,solve_ftapas_30,0.03786587715148926,22479,22479
488,NK,27,solve_ftapas_50,0.05244588851928711,18569,18569
199,ZKC,10,solve_ftapas_70,0.002256155014038086,7669,7669
107,ZKC,4,solve_ftapas_15,0.0006127357482910156,3804,3804
1727,ZKW,4,solve_ftapas_15,0.0005681514739990234,3651,3651
251,ZKC,20,solve_ftapas_30,0.034600019454956055,15288,15304
342,ZKC,10,solve_ftapas_70,0.0023398399353027344,8790,8790
33,ZKC,4,solve_ftapas_70,0.0003170967102050781,3348,3348
41,ZKC,20,solve_ftapas_30,0.04071688652038574,18615,18615
240,NK,10,solve_ftapas_15,0.008270978927612305,14326,14326
305,NK,10,solve_ftapas_70,0.0019321441650390625,5502,5502
1870,ZKW,10,solve_ftapas_50,0.0017290115356445312,4671,4671
3,ZKC,27,solve_ftapas_50,0.05710005760192871,24133,24151
348,ZKC,20,solve_ftapas_30,0.03252005577087402,15501,15501
246,NK,25,solve_ftapas_50,0.04847407341003418,29691,29691
30,NK,22,solve_ftapas_15,0.08769893646240234,22400,22400
241,NK,25,solve_ftapas_15,0.11690688133239746,25286,25286
427,ZKC,25,solve_ftapas_30,0.0844717025756836,24676,24676
424,NK,10,solve_ftapas_30,0.003759145736694336,4862,4862
397,NK,15,solve_ftapas_15,0.02606368064880371,6970,6970
95,ZKC,22,solve_ftapas_30,0.05395317077636719,20278,20296
157,ZKC,4,solve_ftapas_15,0.000598907470703125,3271,3271
10,ZKC,27,solve_ftapas_15,0.20198822021484375,26026,26029
53,NK,10,solve_ftapas_30,0.0046536922454833984,8185,8185
135,NK,20,solve_ftapas_70,0.012270212173461914,17022,17035
168,ZKC,27,solve_ftapas_30,0.09802818298339844,24239,24239
324,NK,4,solve_ftapas_15,0.0006809234619140625,6067,6067
1,ZKC,25,solve_ftapas_70,0.030453205108642578,20711,20711
217,ZKC,27,solve_ftapas_15,0.1907191276550293,23433,23443
89,NK,15,solve_ftapas_15,0.028937816619873047,17542,17542
497,NK,20,solve_ftapas_15,0.0791330337524414,6256,6256
1715,ZKW,25,solve_ftapas_70,0.0074748992919921875,24101,24101
1396,ZKW,10,solve_ftapas_50,0.0020537376403808594,4277,4382
1400,ZKW,4,solve_ftapas_15,0.0004878044128417969,9085,9085
378,NK,20,solve_ftapas_70,0.01659703254699707,8495,8495
59,ZKC,25,solve_ftapas_50,0.049027204513549805,24240,24251
218,ZKC,15,solve_ftapas_30,0.016334056854248047,13617,13617
330,NK,22,solve_ftapas_70,0.021892070770263672,22367,22435
976,ZKW,15,solve_ftapas_70,0.004057168960571289,5429,5587
338,ZKC,25,solve_ftapas_70,0.030910968780517578,19704,19767
455,NK,27,solve_ftapas_50,0.04880189895629883,27421,27421
1462,ZKW,4,solve_ftapas_15,0.0003910064697265625,27227,27227
384,ZKC,10,solve_ftapas_50,0.002789020538330078,8213,8323
148,NK,10,solve_ftapas_70,0.0021038055419921875,7575,7575
165,ZKC,20,solve_ftapas_30,0.03984689712524414,15437,15437
172,NK,10,solve_ftapas_70,0.0021359920501708984,9867,9867
190,NK,10,solve_ftapas_70,0.0024390220642089844,5072,5072
1280,ZKW,10,solve_ftapas_15,0.003901243209838867,7976,7976
410,NK,4,solve_ftapas_70,0.0002999305725097656,1800,1800
25,ZKC,27,solve_ftapas_70,0.04701519012451172,26371,26419
70,NK,10,solve_ftapas_30,0.004293680191040039,8535,8535
318,ZKC,22,solve_ftapas_15,0.0884242057800293,17810,17817
431,NK,15,solve_ftapas_50,0.015033960342407227,18015,18015
214,ZKW,4,solve_ftapas_30,0.00037789344787597656,7740,7740
224,ZKC,10,solve_ftapas_70,0.005191802978515625,9210,9210
43,ZKC,27,solve_ftapas_30,0.0943002700805664,22108,22128
232,ZKC,10,solve_ftapas_15,0.008754253387451172,10861,10876
479,NK,25,solve_ftapas_50,0.04561114311218262,22266,22266
231,ZKC,10,solve_ftapas_70,0.002026081085205078,6658,6805
418,NK,4,solve_ftapas_30,0.0003859996795654297,1425,1425
92,ZKC,22,solve_ftapas_30,0.06270837783813477,21281,21291
212,ZKC,27,solve_ftapas_70,0.054054975509643555,26121,26121
163,ZKC,15,solve_ftapas_15,0.03265094757080078,13246,13246
1341,ZKW,4,solve_ftapas_70,0.0002880096435546875,2957,2957
47,NK,20,solve_ftapas_70,0.013218164443969727,20778,20778
493,NK,15,solve_ftapas_70,0.007980108261108398,17644,17644
288,ZKC,10,solve_ftapas_30,0.00462794303894043,9185,9233
149,ZKC,4,solve_ftapas_30,0.00045490264892578125,2455,2471
17,NK,4,solve_ftapas_15,0.0005350112915039062,0,0
114,ZKW,10,solve_ftapas_15,0.0038559436798095703,7161,7161
115,ZKW,4,solve_ftapas_50,0.000270843505859375,7284,7284
394,ZKC,4,solve_ftapas_50,0.0002980232238769531,2538,2952
246,ZKC,20,solve_ftapas_30,0.03954482078552246,19796,19804
13,ZKC,22,solve_ftapas_70,0.02572798728942871,21074,21151
442,NK,25,solve_ftapas_15,0.12640166282653809,27281,27281
236,ZKW,4,solve_ftapas_30,0.0003578662872314453,6441,6441
58,NK,15,solve_ftapas_30,0.012917041778564453,1926,1926
52,NK,15,solve_ftapas_50,0.008211851119995117,12958,12958
238,NK,20,solve_ftapas_50,0.019349098205566406,20635,20635
985,ZKW,4,solve_ftapas_70,0.00028705596923828125,2974,3531
416,ZKC,27,solve_ftapas_70,0.047820091247558594,26572,26572
103,ZKC,4,solve_ftapas_15,0.0006229877471923828,3764,3764
422,ZKC,20,solve_ftapas_50,0.02556014060974121,18356,18386
196,ZKC,22,solve_ftapas_30,0.05443978309631348,20532,20532
1586,ZKW,4,solve_ftapas_30,0.001191854476928711,2300,2300
118,ZKC,27,solve_ftapas_15,0.2030351161956787,22997,23003
306,ZKC,10,solve_ftapas_50,0.0055370330810546875,8172,8202
268,NK,25,solve_ftapas_70,0.03933429718017578,25131,25131
277,NK,22,solve_ftapas_70,0.028333187103271484,23018,23055
144,ZKC,15,solve_ftapas_30,0.01412820816040039,11628,11635
481,NK,25,solve_ftapas_30,0.08954000473022461,28743,28743
426,NK,15,solve_ftapas_70,0.0059239864349365234,10538,10538
124,ZKC,27,solve_ftapas_15,0.19404220581054688,23772,23779
1278,ZKW,4,solve_ftapas_30,0.00035500526428222656,5095,5095
217,ZKW,4,solve_ftapas_50,0.00031304359436035156,1742,1946
200,NK,27,solve_ftapas_70,0.05332493782043457,20596,20596
485,NK,10,solve_ftapas_70,0.002794027328491211,10139,10139
163,ZKC,20,solve_ftapas_70,0.017914295196533203,16534,16637
174,NK,27,solve_ftapas_30,0.10644388198852539,17969,17969
238,NK,27,solve_ftapas_50,0.06290102005004883,15648,15648
460,NK,4,solve_ftapas_70,0.0003421306610107422,5758,5758
7,NK,25,solve_ftapas_70,0.03308701515197754,28325,28325
73,NK,27,solve_ftapas_70,0.03740119934082031,26579,26636
271,ZKC,10,solve_ftapas_50,0.0032660961151123047,9524,9576
402,ZKW,10,solve_ftapas_70,0.001550912857055664,4920,4920
429,ZKW,4,solve_ftapas_15,0.0005109310150146484,3019,3019
498,ZKC,10,solve_ftapas_70,0.0024662017822265625,10296,10420
1229,ZKW,4,solve_ftapas_30,0.0003750324249267578,3397,3397
40,ZKC,10,solve_ftapas_50,0.002788066864013672,8204,8204
1487,ZKW,4,solve_ftapas_70,0.0002753734588623047,4299,4299
1979,ZKW,4,solve_ftapas_15,0.0008540153503417969,1598,1598
490,NK,4,solve_ftapas_50,0.0003120899200439453,2933,2933
495,ZKC,22,solve_ftapas_15,0.12723875045776367,18748,18754
270,NK,10,solve_ftapas_70,0.002285003662109375,7263,7263
108,ZKC,25,solve_ftapas_15,0.17121601104736328,21847,21858
103,ZKW,4,solve_ftapas_15,0.0004169940948486328,17186,17186
285,NK,25,solve_ftapas_70,0.03273916244506836,16892,16892
111,ZKC,4,solve_ftapas_30,0.0004417896270751953,3552,3552
361,ZKC,27,solve_ftapas_50,0.0733330249786377,28325,28325
469,ZKW,10,solve_ftapas_15,0.006082773208618164,2979,2979
37,ZKC,20,solve_ftapas_30,0.04383373260498047,19595,19596
409,ZKC,10,solve_ftapas_70,0.0027723312377929688,7719,7719
264,NK,10,solve_ftapas_70,0.0025670528411865234,7584,7584
290,NK,27,solve_ftapas_70,0.04265999794006348,14135,14135
416,ZKC,15,solve_ftapas_50,0.011136054992675781,15680,15680
444,ZKC,22,solve_ftapas_15,0.08795404434204102,17024,17024
338,NK,22,solve_ftapas_50,0.022930145263671875,20988,20988
366,NK,25,solve_ftapas_30,0.06654596328735352,28686,28686
721,ZKW,10,solve_ftapas_50,0.0026268959045410156,2330,2330
276,ZKC,25,solve_ftapas_15,0.15281009674072266,19633,19633
288,ZKC,15,solve_ftapas_70,0.00662994384765625,11830,11841
428,NK,27,solve_ftapas_15,0.14949607849121094,4534,4534
199,NK,27,solve_ftapas_50,0.060655832290649414,4500,4500
229,NK,22,solve_ftapas_30,0.04990792274475098,25145,25145
455,ZKW,4,solve_ftapas_30,0.00019478797912597656,6806,6806
142,ZKC,4,solve_ftapas_50,0.00016188621520996094,1658,1658
9,NK,4,solve_ftapas_50,0.0044269561767578125,3451,3451
568,ZKW,10,solve_ftapas_30,0.0021331310272216797,5951,5951
166,ZKC,4,solve_ftapas_15,0.0006520748138427734,4114,4114
1790,ZKW,22,solve_ftapas_70,0.008633136749267578,8232,8232
304,ZKC,10,solve_ftapas_50,0.0031769275665283203,9732,9813
445,ZKC,4,solve_ftapas_70,0.0002810955047607422,3142,3142
176,NK,25,solve_ftapas_30,0.07222223281860352,27479,27479
228,NK,25,solve_ftapas_70,0.03389787673950195,12858,12868
90,NK,4,solve_ftapas_30,0.00044989585876464844,4527,4527
414,NK,27,solve_ftapas_30,0.10244393348693848,31683,31683
453,ZKC,15,solve_ftapas_30,0.01520991325378418,13424,13452
26,NK,4,solve_ftapas_50,0.00036787986755371094,2551,2551
326,NK,22,solve_ftapas_70,0.03742384910583496,26571,26571
1980,ZKW,4,solve_ftapas_30,0.00031304359436035156,11720,11720
194,NK,25,solve_ftapas_50,0.051706790924072266,32533,32533
478,ZKC,22,solve_ftapas_30,0.057260990142822266,19760,19793
16,ZKC,27,solve_ftapas_15,0.17783880233764648,23107,23107
431,ZKC,27,solve_ftapas_15,0.20348405838012695,26126,26126
97,ZKW,4,solve_ftapas_15,0.0005538463592529297,4286,4286
188,NK,25,solve_ftapas_15,0.15998387336730957,28918,28918
118,ZKC,20,solve_ftapas_15,0.07941007614135742,17511,17511
572,ZKW,4,solve_ftapas_70,0.0002818107604980469,9106,9106
390,NK,10,solve_ftapas_50,0.0026907920837402344,0,0
254,ZKC,15,solve_ftapas_15,0.05628681182861328,12529,12542
361,NK,15,solve_ftapas_30,0.014525175094604492,17268,17268
416,NK,15,solve_ftapas_30,0.016337156295776367,20819,20819
158,NK,15,solve_ftapas_30,0.012751102447509766,10533,10533
235,NK,20,solve_ftapas_50,0.020831823348999023,8945,8945
277,NK,25,solve_ftapas_70,0.02843165397644043,26888,26899
439,ZKC,22,solve_ftapas_15,0.10289192199707031,19904,19917
158,NK,27,solve_ftapas_70,0.04075479507446289,14459,14459
492,NK,10,solve_ftapas_70,0.002627134323120117,7273,7273
183,ZKC,10,solve_ftapas_30,0.006501197814941406,9361,9376
367,ZKC,22,solve_ftapas_30,0.057466983795166016,20449,20449
348,ZKC,15,solve_ftapas_15,0.032524824142456055,14361,14371
241,ZKC,15,solve_ftapas_30,0.018558979034423828,13619,13664
406,NK,15,solve_ftapas_30,0.014434099197387695,16573,16573
144,ZKC,27,solve_ftapas_30,0.10752987861633301,27114,27114
98,NK,27,solve_ftapas_70,0.04278302192687988,25631,25631
446,ZKC,10,solve_ftapas_15,0.00800323486328125,8604,8604
16,NK,10,solve_ftapas_50,0.0030219554901123047,3226,3226
108,NK,25,solve_ftapas_70,0.027860164642333984,21296,21305
480,ZKC,25,solve_ftapas_30,0.07733798027038574,22885,22905
1216,ZKW,4,solve_ftapas_15,0.0005140304565429688,2123,2123
108,NK,4,solve_ftapas_50,0.0005738735198974609,3497,3497
199,NK,22,solve_ftapas_50,0.03470897674560547,25462,25462
250,ZKC,20,solve_ftapas_70,0.01898026466369629,19258,19263
197,NK,10,solve_ftapas_70,0.0024390220642089844,14131,14131
176,ZKC,10,solve_ftapas_70,0.0022470951080322266,8832,8832
112,NK,22,solve_ftapas_15,0.1023416519165039,30492,30492
1081,ZKW,4,solve_ftapas_50,0.0009479522705078125,6249,6249
53,NK,20,solve_ftapas_70,0.020117759704589844,28579,28579
44,ZKC,25,solve_ftapas_15,0.15610218048095703,21953,21953
3,NK,22,solve_ftapas_70,0.02507781982421875,25069,25069
120,NK,4,solve_ftapas_50,0.0003428459167480469,3018,3018
412,ZKC,4,solve_ftapas_50,0.0005953311920166016,3842,3842
488,ZKC,15,solve_ftapas_15,0.03245997428894043,13775,13775
245,ZKC,20,solve_ftapas_70,0.016852140426635742,16436,16436
17,NK,27,solve_ftapas_15,0.18689298629760742,33324,33324
32,ZKC,25,solve_ftapas_70,0.03562521934509277,23289,23289
390,NK,15,solve_ftapas_15,0.028766155242919922,11759,11759
138,NK,15,solve_ftapas_15,0.02996087074279785,17999,17999
476,ZKC,25,solve_ftapas_30,0.07650899887084961,22126,22126
452,NK,15,solve_ftapas_15,0.02589106559753418,10868,10868
448,ZKC,27,solve_ftapas_15,0.21803641319274902,24107,24107
301,NK,15,solve_ftapas_15,0.020776033401489258,6634,6634
107,ZKC,10,solve_ftapas_50,0.0030291080474853516,8844,8921
181,ZKW,10,solve_ftapas_70,0.0014300346374511719,8183,8183
146,NK,20,solve_ftapas_70,0.017925262451171875,18679,18679
211,ZKC,15,solve_ftapas_70,0.006116628646850586,10872,10880
11,NK,4,solve_ftapas_30,0.0004241466522216797,4774,4774
450,NK,15,solve_ftapas_15,0.03149223327636719,21803,21803
130,ZKC,27,solve_ftapas_50,0.058531999588012695,22292,22320
267,ZKC,4,solve_ftapas_15,0.0006299018859863281,3376,3376
350,NK,27,solve_ftapas_30,0.08340215682983398,24562,24562
467,ZKC,20,solve_ftapas_70,0.018647193908691406,18737,18765
41,NK,22,solve_ftapas_30,0.05651593208312988,20735,20735
71,ZKC,20,solve_ftapas_30,0.037275075912475586,17489,17500
144,NK,15,solve_ftapas_15,0.0293121337890625,13310,13310
89,ZKC,4,solve_ftapas_15,0.0005469322204589844,2635,2635
205,NK,27,solve_ftapas_15,0.20146679878234863,35985,35985
325,NK,15,solve_ftapas_50,0.00894784927368164,13695,13695
203,ZKC,10,solve_ftapas_50,0.002930879592895508,8611,8738
1499,ZKW,10,solve_ftapas_50,0.00096893310546875,243425,243425
323,ZKC,10,solve_ftapas_50,0.003484964370727539,11749,11777
208,ZKW,4,solve_ftapas_70,0.00028228759765625,3213,3213
1484,ZKW,25,solve_ftapas_15,0.09903717041015625,3178,3178
457,NK,20,solve_ftapas_15,0.0812678337097168,2151,2151
154,NK,4,solve_ftapas_30,0.0004661083221435547,3621,3621
421,NK,4,solve_ftapas_15,0.0005030632019042969,3951,3951
118,ZKC,22,solve_ftapas_15,0.11206674575805664,21476,21477
1998,ZKW,15,solve_ftapas_30,0.004929780960083008,8391,8602
99,ZKC,22,solve_ftapas_15,0.10587096214294434,18028,18028
50,NK,4,solve_ftapas_50,0.0003509521484375,2717,2717
216,ZKC,20,solve_ftapas_50,0.02807307243347168,19535,19535
340,ZKW,4,solve_ftapas_50,0.0003018379211425781,2643,2643
1055,ZKW,4,solve_ftapas_15,0.00048613548278808594,4201,4201
31,NK,15,solve_ftapas_50,0.00949406623840332,16020,16020
166,NK,22,solve_ftapas_30,0.051796913146972656,26193,26193
462,NK,15,solve_ftapas_70,0.007389068603515625,20498,20498
226,ZKC,22,solve_ftapas_30,0.051275014877319336,19589,19589
1092,ZKW,4,solve_ftapas_50,0.0003139972686767578,3175,3175
423,NK,25,solve_ftapas_50,0.04574990272521973,21428,21428
329,ZKC,10,solve_ftapas_50,0.0029706954956054688,7657,7671
386,ZKC,4,solve_ftapas_50,0.0003409385681152344,3801,3801
1644,ZKW,4,solve_ftapas_15,0.00048804283142089844,2870,2870
408,ZKC,15,solve_ftapas_50,0.010930299758911133,15324,15349
449,NK,25,solve_ftapas_50,0.02869415283203125,21397,21397
374,NK,20,solve_ftapas_30,0.04041123390197754,22014,22014
271,NK,4,solve_ftapas_70,0.00032711029052734375,5039,5039
36,ZKC,27,solve_ftapas_50,0.058860063552856445,23551,23551
424,ZKC,4,solve_ftapas_15,0.0005781650543212891,3029,3029
303,NK,10,solve_ftapas_70,0.0016698837280273438,6515,6515
411,ZKC,27,solve_ftapas_70,0.04285287857055664,23640,23645
278,ZKC,4,solve_ftapas_50,0.0003688335418701172,1750,1842
369,ZKC,15,solve_ftapas_50,0.009369850158691406,12506,12506
1848,ZKW,15,solve_ftapas_70,0.004293918609619141,4790,4790
63,ZKC,15,solve_ftapas_70,0.008404970169067383,14371,14445
1129,ZKW,4,solve_ftapas_70,0.00027489662170410156,3675,4603
130,ZKC,22,solve_ftapas_70,0.025343894958496094,23414,23470
336,NK,25,solve_ftapas_50,0.03670692443847656,21026,21073
479,ZKC,15,solve_ftapas_50,0.011400938034057617,12550,12550
285,ZKC,20,solve_ftapas_50,0.02562689781188965,18600,18627
91,ZKW,25,solve_ftapas_30,0.01700878143310547,15020,15020
276,NK,10,solve_ftapas_30,0.003986358642578125,7506,7506
1665,ZKW,10,solve_ftapas_30,0.0025773048400878906,9751,10439
317,ZKC,10,solve_ftapas_30,0.00838017463684082,8509,8509
448,NK,25,solve_ftapas_50,0.0414278507232666,7974,7974
2,NK,15,solve_ftapas_30,0.01799917221069336,16649,16649
210,ZKC,22,solve_ftapas_70,0.027064085006713867,19845,19909
200,ZKW,4,solve_ftapas_70,0.00029397010803222656,3591,3591
12,NK,27,solve_ftapas_50,0.060668230056762695,31677,31677
228,ZKC,15,solve_ftapas_50,0.011624813079833984,12130,12130
73,NK,25,solve_ftapas_50,0.0474400520324707,24590,24590
227,ZKC,27,solve_ftapas_30,0.09392690658569336,23565,23581
410,NK,25,solve_ftapas_70,0.028995037078857422,22316,22316
147,NK,10,solve_ftapas_15,0.007710933685302734,8841,8841
556,ZKW,4,solve_ftapas_30,0.00032901763916015625,11160,11160
210,NK,10,solve_ftapas_50,0.0028429031372070312,11227,11227
34,NK,15,solve_ftapas_15,0.03548598289489746,17001,17001
332,NK,22,solve_ftapas_15,0.0844888687133789,20679,20679
363,NK,20,solve_ftapas_70,0.018433094024658203,26778,26778
384,NK,4,solve_ftapas_50,0.0003399848937988281,2882,2882
2,NK,4,solve_ftapas_15,0.0005609989166259766,2966,2966
259,NK,15,solve_ftapas_50,0.00867009162902832,9993,9993
1076,ZKW,4,solve_ftapas_50,0.00025916099548339844,27295,27295
236,ZKC,4,solve_ftapas_15,0.0006170272827148438,2989,2989
91,ZKC,20,solve_ftapas_30,0.03908514976501465,18047,18078
9,NK,20,solve_ftapas_70,0.014973878860473633,10351,10363
80,ZKC,10,solve_ftapas_30,0.0051898956298828125,10785,10785
111,NK,27,solve_ftapas_50,0.052729129791259766,22309,22343
305,ZKC,10,solve_ftapas_15,0.010818958282470703,11972,11972
117,NK,15,solve_ftapas_50,0.009309768676757812,14266,14266
155,NK,27,solve_ftapas_30,0.07237792015075684,21166,21166
448,ZKC,25,solve_ftapas_70,0.04079318046569824,23752,23806
135,ZKC,10,solve_ftapas_30,0.004565238952636719,7936,7976
464,ZKC,27,solve_ftapas_50,0.06748008728027344,25254,25292
374,NK,4,solve_ftapas_15,0.0005528926849365234,3842,3842
1021,ZKW,4,solve_ftapas_70,0.000244140625,24514,24514
338,ZKC,10,solve_ftapas_30,0.0055217742919921875,10603,10631
387,ZKC,20,solve_ftapas_15,0.08426403999328613,18775,18775
18,ZKC,22,solve_ftapas_70,0.026650190353393555,18559,18559
55,NK,15,solve_ftapas_70,0.007242918014526367,17675,17675
94,ZKC,10,solve_ftapas_15,0.008756875991821289,9964,9964
1465,ZKW,4,solve_ftapas_70,0.00033593177795410156,1232,1232
181,ZKW,10,solve_ftapas_50,0.001692056655883789,8183,8183
205,NK,15,solve_ftapas_15,0.02102804183959961,12286,12286
415,ZKC,27,solve_ftapas_50,0.06470298767089844,22264,22264
396,ZKC,25,solve_ftapas_30,0.08757305145263672,22083,22083
393,ZKC,20,solve_ftapas_50,0.023056745529174805,16996,16996
254,NK,25,solve_ftapas_30,0.0751948356628418,26452,26452
76,ZKC,10,solve_ftapas_15,0.008649110794067383,9633,9638
395,NK,25,solve_ftapas_30,0.06716585159301758,6898,6898
1912,ZKW,4,solve_ftapas_30,0.00039315223693847656,3795,3841
185,NK,25,solve_ftapas_15,0.16022491455078125,8118,8118
170,NK,25,solve_ftapas_70,0.04066109657287598,31920,31920
1318,ZKW,27,solve_ftapas_30,0.04933309555053711,3890,3890
292,NK,20,solve_ftapas_15,0.07201910018920898,13462,13462
219,NK,20,solve_ftapas_30,0.02958083152770996,16384,16384
