dataset,size,key,elapsed,delta
ZKC,27,dynamic_weight,1.4161324501037598,0.0
ZKC,27,dynamic_cost,0.5547640323638916,0.0
NK,27,dynamic_weight,1.8210172653198242,0.0
ZKW,10,solve_ftapas_50,0.0028209686279296875,0.0
ZKW,4,greedy_redux,5.793571472167969e-05,0.0
NK,22,greedy_redux,6.008148193359375e-05,89.0
ZKC,10,solve_ftapas_30,0.003711700439453125,0.0
NK,20,solve_ftapas_50,0.022402048110961914,74.0
ZKC,15,solve_ftapas_15,0.02647089958190918,0.0
NK,15,dynamic_weight,0.4013664722442627,0.0
ZKC,4,dynamic_cost,4.1484832763671875e-05,0.0
NK,10,solve_ftapas_70,0.002019166946411133,0.0
ZKC,15,branch_bound,0.06560420989990234,0.0
NK,27,solve_ftapas_50,0.05278372764587402,0.0
NK,20,solve_ftapas_15,0.04896092414855957,10.0
ZKC,22,greedy_simple,6.532669067382812e-05,1772.0
ZKC,20,branch_bound,0.911156177520752,0.0
NK,25,solve_ftapas_15,0.14432311058044434,0.0
NK,20,branch_bound,0.002094268798828125,0.0
ZKW,10,branch_bound,0.0023343563079833984,0.0
ZKC,20,solve_ftapas_50,0.020297765731811523,71.0
ZKC,15,solve_ftapas_50,0.007969141006469727,0.0
NK,4,solve_ftapas_30,0.00041556358337402344,0.0
NK,4,branch_bound,7.987022399902344e-05,0.0
ZKC,4,dynamic_cost,5.221366882324219e-05,0.0
ZKC,25,solve_ftapas_15,0.1360173225402832,0.0
NK,20,solve_ftapas_50,0.013643980026245117,9.0
ZKW,4,solve_ftapas_70,0.00032210350036621094,0.0
NK,20,greedy_redux,5.650520324707031e-05,142.0
NK,27,dynamic_weight,1.6026244163513184,0.0
ZKW,10,branch_bound,0.0004987716674804688,0.0
ZKC,22,solve_ftapas_70,0.02233719825744629,36.0
ZKC,27,dynamic_cost,0.07500195503234863,0.0
ZKC,10,branch_bound,0.004009723663330078,0.0
ZKC,27,solve_ftapas_50,0.05495882034301758,0.0
NK,22,solve_ftapas_50,0.018354415893554688,34.0
NK,15,greedy_redux,5.555152893066406e-05,0.0
ZKC,25,dynamic_cost,0.050241947174072266,0.0
ZKC,4,dynamic_weight,0.03240513801574707,0.0
NK,15,solve_ftapas_50,0.0042150020599365234,0.0
ZKW,27,solve_ftapas_50,0.023791790008544922,0.0
ZKW,4,solve_ftapas_30,0.0008375644683837891,0.0
ZKC,4,solve_ftapas_30,0.00042366981506347656,0.0
NK,25,dynamic_cost,0.043074607849121094,0.0
ZKC,4,solve_ftapas_70,0.0003504753112792969,292.0
NK,27,greedy_simple,5.984306335449219e-05,608.0
ZKC,4,solve_ftapas_70,0.00035119056701660156,0.0
NK,20,branch_bound,0.003484010696411133,0.0
NK,4,solve_ftapas_15,0.0007681846618652344,0.0
ZKC,22,dynamic_weight,1.1514337062835693,0.0
NK,20,dynamic_cost,0.014284372329711914,0.0
NK,10,branch_bound,0.0016713142395019531,0.0
ZKC,22,solve_ftapas_50,0.03028082847595215,40.0
ZKC,10,dynamic_weight,0.24969720840454102,0.0
NK,25,dynamic_cost,0.0029854774475097656,0.0
NK,25,branch_bound,0.012619733810424805,0.0
ZKW,4,solve_ftapas_50,0.0003447532653808594,0.0
NK,22,dynamic_cost,0.10684323310852051,0.0
ZKC,22,greedy_simple,0.00011587142944335938,974.0
NK,4,solve_ftapas_50,0.0005259513854980469,0.0
ZKC,15,solve_ftapas_50,0.009439706802368164,0.0
ZKC,20,solve_ftapas_15,0.07787704467773438,4.0
ZKC,22,solve_ftapas_70,0.021506309509277344,23.0
ZKC,15,branch_bound,0.09296345710754395,0.0
ZKC,4,dynamic_cost,4.029273986816406e-05,0.0
ZKC,27,greedy_simple,5.555152893066406e-05,1627.0
ZKW,4,solve_ftapas_15,0.0006208419799804688,0.0
NK,25,greedy_simple,5.3882598876953125e-05,364.0
ZKC,15,dynamic_weight,0.45772838592529297,0.0
ZKC,25,solve_ftapas_70,0.03727149963378906,40.0
NK,15,dynamic_weight,0.5019271373748779,0.0
NK,25,solve_ftapas_50,0.04078269004821777,0.0
NK,10,solve_ftapas_50,0.0025904178619384766,0.0
ZKC,15,greedy_redux,5.4836273193359375e-05,1536.0
ZKC,4,solve_ftapas_70,0.0003190040588378906,58.0
ZKC,15,branch_bound,0.05496072769165039,0.0
ZKW,4,dynamic_cost,3.647804260253906e-05,0.0
NK,15,dynamic_weight,0.37780046463012695,0.0
ZKW,4,solve_ftapas_30,0.0004124641418457031,0.0
NK,25,greedy_redux,0.0002586841583251953,0.0
ZKC,15,solve_ftapas_70,0.008048534393310547,0.0
ZKW,4,branch_bound,0.00015115737915039062,0.0
ZKC,10,dynamic_weight,0.21541547775268555,0.0
ZKC,10,greedy_simple,3.886222839355469e-05,224.0
NK,27,branch_bound,0.03467917442321777,0.0
ZKW,10,dynamic_cost,0.00012421607971191406,0.0
ZKC,20,solve_ftapas_30,0.039362192153930664,0.0
ZKW,25,dynamic_cost,0.0016179084777832031,0.0
