batch_size,mutation_rate,problem_path,init_type,fitness_type,solved_time
640,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0580.mwcnf,allfalse,sum_or_nothing,
160,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0353.mwcnf,allfalse,sum_or_nothing,
320,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0166.mwcnf,uniform,sum_or_nothing,
320,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0353.mwcnf,uniform,sum_or_nothing,
320,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0543.mwcnf,uniform,correct_count,
320,0.04,data/wuf-N1/wuf50-201-N1/wuf50-062.mwcnf,uniform,sum_or_nothing,
640,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0604.mwcnf,allfalse,sum_or_nothing,
640,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0809.mwcnf,uniform,correct_count,
10,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0833.mwcnf,uniform,sum_or_nothing,
1280,0.32,data/wuf-N1/wuf50-201-N1/wuf50-045.mwcnf,allfalse,sum_or_nothing,
640,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0399.mwcnf,allfalse,sum_or_nothing,
20,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0564.mwcnf,uniform,sum_or_nothing,
640,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0940.mwcnf,allfalse,correct_count,
1280,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0416.mwcnf,uniform,correct_count,
1280,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0559.mwcnf,allfalse,correct_count,
640,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0408.mwcnf,allfalse,correct_count,
320,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0860.mwcnf,uniform,correct_count,
40,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0371.mwcnf,uniform,correct_count,0.4069244861602783
160,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0276.mwcnf,uniform,sum_or_nothing,
640,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0496.mwcnf,uniform,sum_or_nothing,
20,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0172.mwcnf,uniform,sum_or_nothing,
80,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0634.mwcnf,uniform,correct_count,1.6739552021026611
40,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0281.mwcnf,allfalse,correct_count,1.4063842296600342
20,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0870.mwcnf,uniform,sum_or_nothing,
5,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0376.mwcnf,allfalse,sum_or_nothing,
20,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0998.mwcnf,allfalse,correct_count,
10,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0970.mwcnf,uniform,correct_count,
640,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0296.mwcnf,allfalse,sum_or_nothing,
20,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0977.mwcnf,uniform,correct_count,
40,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0143.mwcnf,uniform,sum_or_nothing,
40,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0588.mwcnf,uniform,sum_or_nothing,
5,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0998.mwcnf,allfalse,sum_or_nothing,
20,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0496.mwcnf,allfalse,correct_count,
5,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0143.mwcnf,allfalse,correct_count,
