batch_size,mutation_rate,problem_path,init_type,fitness_type,solved_time
160,0.08,data/wuf-N1/wuf20-78-N1/wuf20-0252.mwcnf,uniform,sum_or_nothing,0.03667807579040527
10,0.02,data/wuf-N1/wuf20-78-N1/wuf20-0562.mwcnf,uniform,correct_count,0.017721176147460938
160,0.16,data/wuf-N1/wuf20-78-N1/wuf20-0585.mwcnf,uniform,sum_or_nothing,0.06002068519592285
20,0.08,data/wuf-N1/wuf20-78-N1/wuf20-0917.mwcnf,uniform,correct_count,0.08289980888366699
80,0.0,data/wuf-N1/wuf20-78-N1/wuf20-0139.mwcnf,uniform,correct_count,0.09160113334655762
40,0.02,data/wuf-N1/wuf20-78-N1/wuf20-0841.mwcnf,uniform,sum_or_nothing,0.09933972358703613
20,0.16,data/wuf-N1/wuf20-78-N1/wuf20-0456.mwcnf,allfalse,correct_count,0.1209099292755127
80,0.01,data/wuf-N1/wuf20-78-N1/wuf20-0736.mwcnf,uniform,correct_count,0.13109946250915527
5,0.16,data/wuf-N1/wuf20-78-N1/wuf20-0456.mwcnf,uniform,correct_count,0.062410593032836914
80,0.08,data/wuf-N1/wuf20-78-N1/wuf20-0676.mwcnf,allfalse,sum_or_nothing,0.21280884742736816
20,0.01,data/wuf-N1/wuf20-78-N1/wuf20-0733.mwcnf,uniform,correct_count,0.03018784523010254
320,0.04,data/wuf-N1/wuf20-78-N1/wuf20-0717.mwcnf,allfalse,correct_count,0.24793410301208496
80,0.04,data/wuf-N1/wuf20-78-N1/wuf20-0598.mwcnf,uniform,correct_count,0.2571420669555664
5,0.16,data/wuf-N1/wuf20-78-N1/wuf20-0300.mwcnf,allfalse,correct_count,0.018803834915161133
40,0.16,data/wuf-N1/wuf20-78-N1/wuf20-0263.mwcnf,allfalse,correct_count,0.12528419494628906
320,0.32,data/wuf-N1/wuf20-78-N1/wuf20-0104.mwcnf,allfalse,sum_or_nothing,0.26925063133239746
640,0.02,data/wuf-N1/wuf20-78-N1/wuf20-0359.mwcnf,uniform,sum_or_nothing,0.21096134185791016
640,0.16,data/wuf-N1/wuf20-78-N1/wuf20-0708.mwcnf,uniform,sum_or_nothing,0.2751178741455078
5,0.02,data/wuf-N1/wuf20-78-N1/wuf20-0464.mwcnf,allfalse,correct_count,0.053642988204956055
160,0.04,data/wuf-N1/wuf20-78-N1/wuf20-0138.mwcnf,uniform,correct_count,0.3679332733154297
640,0.32,data/wuf-N1/wuf20-78-N1/wuf20-0492.mwcnf,uniform,sum_or_nothing,0.36057090759277344
40,0.04,data/wuf-N1/wuf20-78-N1/wuf20-090.mwcnf,allfalse,correct_count,0.4049403667449951
640,0.0,data/wuf-N1/wuf20-78-N1/wuf20-090.mwcnf,uniform,sum_or_nothing,0.25700974464416504
