opcount,elapsed,optimizations,size,itype
29,0.00010932399999319387,set(),4,ZR
29,0.0001170729999842024,set(),4,ZR
25,0.0001194270000155484,set(),4,ZR
11,4.6052000016061356e-05,set(),4,ZR
29,0.00011103699998216143,set(),4,ZR
23,9.307799999191957e-05,set(),4,ZR
27,0.00017800100002318686,set(),4,ZR
27,0.0001105290000111836,set(),4,ZR
4,2.5561000001061984e-05,set(),4,ZR
19,0.0001366950000090128,set(),4,ZR
8,4.023799999686162e-05,set(),4,ZR
6,4.225500001098226e-05,set(),4,ZR
25,9.219500000767766e-05,set(),4,ZR
25,9.751700000038e-05,set(),4,ZR
25,0.0001037799999892286,set(),4,ZR
23,0.0012360300000011648,set(),4,ZR
27,0.00011779799999089846,set(),4,ZR
27,9.8010000016302e-05,set(),4,ZR
23,8.439500001600209e-05,set(),4,ZR
29,0.00011283899999625646,set(),4,ZR
31,0.00011177999999745225,set(),4,ZR
3,2.210099998478654e-05,set(),4,ZR
4,2.5790000023562243e-05,set(),4,ZR
23,8.656999997924686e-05,set(),4,ZR
21,8.351400001060938e-05,set(),4,ZR
3,2.0212999999102976e-05,set(),4,ZR
25,9.995600001388993e-05,set(),4,ZR
27,0.00013503299999229057,set(),4,ZR
25,9.795599999051774e-05,set(),4,ZR
6,6.029299998999704e-05,set(),4,ZR
4,2.5801999981922563e-05,set(),4,ZR
9,4.3228000009776224e-05,set(),4,ZR
27,9.685400002013012e-05,set(),4,ZR
31,0.00010745700001280056,set(),4,ZR
3,1.847600000814964e-05,set(),4,ZR
29,0.00011691800000335206,set(),4,ZR
27,9.708400000363326e-05,set(),4,ZR
11,6.730399999810288e-05,set(),4,ZR
25,9.684699998047108e-05,set(),4,ZR
15,7.76179999775195e-05,set(),4,ZR
23,0.00013385100001528372,set(),4,ZR
27,0.00017785000000003492,set(),4,ZR
6,5.985199999258839e-05,set(),4,ZR
21,7.656700000779892e-05,set(),4,ZR
23,9.007400001337373e-05,set(),4,ZR
25,0.00012837500000273394,set(),4,ZR
31,0.00011859399998570552,set(),4,ZR
29,0.00010253599998577556,set(),4,ZR
31,0.00010983199999259341,set(),4,ZR
12,5.0487000009979965e-05,set(),4,ZR
6,4.4368000004624264e-05,set(),4,ZR
25,9.201299999972434e-05,set(),4,ZR
27,9.34749999998985e-05,set(),4,ZR
4,4.674699999895893e-05,set(),4,ZR
27,0.0001029000000016822,set(),4,ZR
6,3.463799998826289e-05,set(),4,ZR
9,4.0834000003542315e-05,set(),4,ZR
25,0.0001038839999978336,set(),4,ZR
9,4.4425999988106923e-05,set(),4,ZR
25,9.726500002216198e-05,set(),4,ZR
23,8.706899998855988e-05,set(),4,ZR
10,0.00010085200000276018,set(),4,ZR
9,4.150999998842053e-05,set(),4,ZR
23,0.00010815699999966455,set(),4,ZR
25,9.067999999956555e-05,set(),4,ZR
15,7.970600000817285e-05,set(),4,ZR
25,8.662400000503112e-05,set(),4,ZR
25,0.0001039589999720647,set(),4,ZR
27,9.911099999726503e-05,set(),4,ZR
4,7.217799998215924e-05,set(),4,ZR
29,0.00015565699999342542,set(),4,ZR
12,5.039999999212341e-05,set(),4,ZR
27,0.00012672500000121545,set(),4,ZR
6,3.550399998175635e-05,set(),4,ZR
27,0.0001708769999879678,set(),4,ZR
