dataset,size,key,elapsed,delta
NK,10,solve_ftapas_07,0.0014181137084960938,91.0
ZKC,25,greedy_simple,4.9114227294921875e-05,848.0
NK,4,solve_ftapas_03,0.000308990478515625,1129.0
NK,15,dynamic_cost,0.00856924057006836,0.0
ZKC,10,solve_ftapas_07,0.0018351078033447266,0.0
ZKC,15,solve_ftapas_03,0.013015031814575195,0.0
ZKW,25,branch_bound,0.0027239322662353516,0.0
ZKW,10,dynamic_cost,4.9114227294921875e-05,0.0
ZKC,25,greedy_redux,6.389617919921875e-05,848.0
ZKW,10,greedy_simple,2.09808349609375e-05,1459.0
ZKC,25,solve_ftapas_05,0.03130197525024414,3.0
NK,15,greedy_redux,4.887580871582031e-05,0.0
ZKC,22,solve_ftapas_03,0.03765988349914551,0.0
ZKW,25,dynamic_cost,0.00040721893310546875,0.0
ZKW,22,branch_bound,0.0004038810729980469,0.0
ZKW,25,greedy_simple,3.981590270996094e-05,641.0
ZKW,10,solve_ftapas_05,0.002112865447998047,0.0
ZKW,10,dynamic_weight,0.1910250186920166,0.0
ZKW,20,dynamic_cost,0.0002999305725097656,0.0
NK,22,solve_ftapas_05,0.02312612533569336,3.0
ZKW,25,dynamic_weight,1.6457037925720215,0.0
ZKW,15,dynamic_cost,0.0002658367156982422,0.0
ZKC,4,greedy_redux,2.8133392333984375e-05,56.0
ZKC,10,greedy_simple,2.4080276489257812e-05,538.0
ZKC,22,greedy_redux,5.316734313964844e-05,802.0
NK,15,solve_ftapas_03,0.012792825698852539,271.0
ZKW,20,branch_bound,0.0011060237884521484,0.0
ZKC,10,solve_ftapas_03,0.0027959346771240234,0.0
ZKW,25,solve_ftapas_05,0.02384209632873535,0.0
NK,15,dynamic_weight,0.3771860599517822,0.0
ZKC,25,dynamic_cost,0.05050492286682129,0.0
NK,10,greedy_simple,3.075599670410156e-05,88.0
ZKC,10,solve_ftapas_05,0.0023260116577148438,0.0
ZKC,4,branch_bound,0.0002067089080810547,0.0
ZKW,22,solve_ftapas_05,0.0026171207427978516,23619.0
ZKW,10,solve_ftapas_07,0.0007588863372802734,0.0
NK,20,greedy_redux,3.790855407714844e-05,0.0
NK,22,greedy_simple,2.002716064453125e-05,0.0
ZKC,4,dynamic_cost,3.504753112792969e-05,0.0
ZKW,15,dynamic_weight,0.5602710247039795,0.0
ZKC,22,greedy_simple,4.696846008300781e-05,802.0
NK,22,dynamic_cost,0.023845195770263672,0.0
ZKC,20,dynamic_weight,0.6398048400878906,0.0
NK,25,dynamic_weight,1.2026779651641846,0.0
ZKW,20,dynamic_weight,0.8539400100708008,0.0
ZKC,22,branch_bound,4.831366777420044,0.0
ZKC,25,branch_bound,34.381994009017944,0.0
