target,best_score,batch_size,mutation_rate
50742,48217,5,0.08
45119,41911,5,0.08
53207,50706,5,0.08
39321,35866,5,0.08
46883,46035,5,0.08
33666,31846,5,0.08
50603,48793,5,0.08
43343,40857,5,0.08
18007,18007,5,0.08
52258,50412,5,0.08
27772,25738,5,0.08
55122,53032,5,0.08
51393,50354,5,0.08
56332,55881,5,0.08
19901,19643,5,0.08
53330,51647,5,0.08
15470,15470,5,0.08
34572,32726,5,0.08
25628,24384,5,0.08
38667,35160,5,0.16
44321,40314,5,0.16
48073,44251,5,0.16
49784,49132,5,0.16
35770,32883,5,0.16
45176,39451,5,0.16
50428,44450,5,0.16
47153,46207,5,0.16
39180,34842,5,0.16
41567,38662,5,0.16
13813,13680,5,0.16
33621,30240,5,0.16
43182,37677,5,0.16
45967,41278,5,0.16
46847,42586,5,0.16
43222,38075,5,0.16
59121,52287,5,0.16
25679,23774,5,0.16
43413,41950,5,0.16
37444,34414,5,0.16
47488,44795,5,0.16
50757,46345,5,0.16
40704,37454,5,0.16
45571,41039,5,0.16
18186,17601,5,0.16
41596,38870,5,0.16
55841,53206,5,0.16
31840,28475,5,0.16
43131,39684,5,0.16
38758,36055,5,0.16
43208,39658,5,0.16
50742,47446,5,0.16
45119,41615,5,0.16
53207,48099,5,0.16
39321,34538,5,0.16
46883,46299,5,0.16
33666,30249,5,0.16
50603,47875,5,0.16
43343,39933,5,0.16
18007,17586,5,0.16
52258,50354,5,0.16
27772,25305,5,0.16
55122,51269,5,0.16
51393,47615,5,0.16
56332,53851,5,0.16
19901,19901,5,0.16
53330,51164,5,0.16
15470,15470,5,0.16
34572,31312,5,0.16
25628,24638,5,0.16
38667,33711,5,0.32
44321,39195,5,0.32
48073,45997,5,0.32
49784,49407,5,0.32
35770,30643,5,0.32
45176,39529,5,0.32
50428,44676,5,0.32
47153,47118,5,0.32
39180,35158,5,0.32
41567,36031,5,0.32
13813,9707,5,0.32
33621,29725,5,0.32
43182,37772,5,0.32
45967,41890,5,0.32
43222,36836,5,0.32
46847,41079,5,0.32
59121,52032,5,0.32
25679,23425,5,0.32
43413,37767,5,0.32
37444,33374,5,0.32
50757,46910,5,0.32
47488,42960,5,0.32
40704,35681,5,0.32
18186,14455,5,0.32
45571,39138,5,0.32
41596,36569,5,0.32
55841,51310,5,0.32
31840,27973,5,0.32
43131,36665,5,0.32
38758,34527,5,0.32
50742,46752,5,0.32
43208,39225,5,0.32
45119,40314,5,0.32
53207,49473,5,0.32
39321,34294,5,0.32
46883,46750,5,0.32
33666,29868,5,0.32
50603,47988,5,0.32
43343,38867,5,0.32
18007,10771,5,0.32
52258,47353,5,0.32
27772,24827,5,0.32
55122,49355,5,0.32
51393,45218,5,0.32
56332,53011,5,0.32
19901,13432,5,0.32
53330,49287,5,0.32
15470,11125,5,0.32
34572,32186,5,0.32
25628,22096,5,0.32
38667,34927,10,0.0
44321,35464,10,0.0
48073,44612,10,0.0
49784,48688,10,0.0
35770,27956,10,0.0
45176,38561,10,0.0
50428,39585,10,0.0
47153,47118,10,0.0
39180,29016,10,0.0
41567,34414,10,0.0
13813,7766,10,0.0
33621,25729,10,0.0
43182,30571,10,0.0
45967,42717,10,0.0
43222,37785,10,0.0
46847,40410,10,0.0
59121,54433,10,0.0
25679,19114,10,0.0
43413,41211,10,0.0
37444,30573,10,0.0
47488,43725,10,0.0
50757,49215,10,0.0
40704,32110,10,0.0
45571,38475,10,0.0
18186,4008,10,0.0
41596,35101,10,0.0
55841,53372,10,0.0
31840,23029,10,0.0
43131,33621,10,0.0
38758,31901,10,0.0
43208,39730,10,0.0
50742,48668,10,0.0
45119,42761,10,0.0
53207,49670,10,0.0
39321,30952,10,0.0
46883,46035,10,0.0
33666,26287,10,0.0
50603,49216,10,0.0
43343,36362,10,0.0
18007,8247,10,0.0
52258,50889,10,0.0
27772,20768,10,0.0
55122,52911,10,0.0
51393,49412,10,0.0
56332,55401,10,0.0
19901,9982,10,0.0
53330,50573,10,0.0
15470,9868,10,0.0
34572,24981,10,0.0
25628,17987,10,0.0
38667,38208,10,0.01
44321,43699,10,0.01
48073,48073,10,0.01
49784,49784,10,0.01
35770,34932,10,0.01
45176,45176,10,0.01
50428,50428,10,0.01
47153,47153,10,0.01
39180,39180,10,0.01
41567,41479,10,0.01
13813,11009,10,0.01
33621,33224,10,0.01
43182,42221,10,0.01
45967,45624,10,0.01
43222,42992,10,0.01
46847,46668,10,0.01
59121,59121,10,0.01
25679,25375,10,0.01
43413,43384,10,0.01
37444,36863,10,0.01
47488,47488,10,0.01
40704,40210,10,0.01
45571,45571,10,0.01
50757,50757,10,0.01
18186,18186,10,0.01
41596,41596,10,0.01
55841,55775,10,0.01
31840,31840,10,0.01
43131,43017,10,0.01
38758,38090,10,0.01
43208,42974,10,0.01
50742,50742,10,0.01
45119,45119,10,0.01
53207,53207,10,0.01
39321,39129,10,0.01
46883,46883,10,0.01
33666,32969,10,0.01
50603,50603,10,0.01
43343,43192,10,0.01
18007,17186,10,0.01
52258,52258,10,0.01
27772,27448,10,0.01
55122,55122,10,0.01
51393,51393,10,0.01
56332,56332,10,0.01
19901,19623,10,0.01
53330,53023,10,0.01
15470,15470,10,0.01
34572,34264,10,0.01
25628,25628,10,0.01
38667,38438,10,0.02
44321,44065,10,0.02
48073,48073,10,0.02
49784,49784,10,0.02
35770,35770,10,0.02
45176,44820,10,0.02
50428,50428,10,0.02
47153,47153,10,0.02
41567,41479,10,0.02
39180,39021,10,0.02
33621,33086,10,0.02
13813,13813,10,0.02
43182,43089,10,0.02
45967,45967,10,0.02
43222,43056,10,0.02
46847,46681,10,0.02
59121,59121,10,0.02
43413,43413,10,0.02
25679,25587,10,0.02
37444,37085,10,0.02
47488,47488,10,0.02
50757,50757,10,0.02
40704,40563,10,0.02
45571,45571,10,0.02
41596,41245,10,0.02
18186,18186,10,0.02
55841,55841,10,0.02
31840,31527,10,0.02
43131,42991,10,0.02
38758,38259,10,0.02
43208,43208,10,0.02
45119,45119,10,0.02
50742,50742,10,0.02
53207,53207,10,0.02
39321,39156,10,0.02
46883,46883,10,0.02
33666,33561,10,0.02
50603,50603,10,0.02
43343,43192,10,0.02
18007,18007,10,0.02
52258,52258,10,0.02
27772,27389,10,0.02
55122,55122,10,0.02
56332,56332,10,0.02
51393,51393,10,0.02
19901,19901,10,0.02
53330,53270,10,0.02
15470,15470,10,0.02
34572,34572,10,0.02
25628,25224,10,0.02
44321,42794,10,0.04
38667,38205,10,0.04
48073,47768,10,0.04
49784,49327,10,0.04
35770,33935,10,0.04
45176,44285,10,0.04
50428,50278,10,0.04
47153,46873,10,0.04
39180,37949,10,0.04
41567,40708,10,0.04
13813,13813,10,0.04
33621,32612,10,0.04
43182,41742,10,0.04
45967,45239,10,0.04
43222,42322,10,0.04
46847,46302,10,0.04
59121,57624,10,0.04
25679,24881,10,0.04
43413,43224,10,0.04
47488,46827,10,0.04
37444,35537,10,0.04
50757,50081,10,0.04
40704,40158,10,0.04
45571,44666,10,0.04
18186,18186,10,0.04
41596,39761,10,0.04
31840,31188,10,0.04
55841,55552,10,0.04
38758,37863,10,0.04
43131,41863,10,0.04
43208,42559,10,0.04
50742,50442,10,0.04
45119,44478,10,0.04
39321,38169,10,0.04
53207,52725,10,0.04
46883,46827,10,0.04
33666,32903,10,0.04
50603,50603,10,0.04
43343,42407,10,0.04
18007,18007,10,0.04
27772,26795,10,0.04
52258,52078,10,0.04
55122,54735,10,0.04
51393,50716,10,0.04
56332,55766,10,0.04
19901,19901,10,0.04
53330,52631,10,0.04
15470,15373,10,0.04
34572,33522,10,0.04
25628,25145,10,0.04
38667,36704,10,0.08
44321,42580,10,0.08
48073,45952,10,0.08
49784,48688,10,0.08
35770,32970,10,0.08
45176,41918,10,0.08
50428,47260,10,0.08
47153,47153,10,0.08
39180,35281,10,0.08
41567,40109,10,0.08
13813,13582,10,0.08
33621,31617,10,0.08
43182,39022,10,0.08
45967,43509,10,0.08
43222,40657,10,0.08
46847,45271,10,0.08
59121,53984,10,0.08
25679,24967,10,0.08
43413,42453,10,0.08
37444,34409,10,0.08
47488,45729,10,0.08
50757,47953,10,0.08
40704,38398,10,0.08
45571,43013,10,0.08
18186,18001,10,0.08
41596,38034,10,0.08
55841,53950,10,0.08
31840,29114,10,0.08
43131,39242,10,0.08
38758,37086,10,0.08
43208,41187,10,0.08
50742,49193,10,0.08
45119,44558,10,0.08
53207,50963,10,0.08
39321,36277,10,0.08
46883,46593,10,0.08
33666,31516,10,0.08
50603,48470,10,0.08
43343,41393,10,0.08
18007,17826,10,0.08
52258,50380,10,0.08
27772,27066,10,0.08
55122,51961,10,0.08
51393,48996,10,0.08
56332,54570,10,0.08
19901,19643,10,0.08
53330,50062,10,0.08
15470,15102,10,0.08
34572,32516,10,0.08
25628,24442,10,0.08
38667,35564,10,0.16
44321,39584,10,0.16
48073,45058,10,0.16
49784,48950,10,0.16
35770,32352,10,0.16
45176,41336,10,0.16
50428,46548,10,0.16
47153,47013,10,0.16
39180,35167,10,0.16
41567,39178,10,0.16
13813,13493,10,0.16
33621,30909,10,0.16
43182,40431,10,0.16
45967,42305,10,0.16
43222,37595,10,0.16
46847,43183,10,0.16
59121,52808,10,0.16
25679,23342,10,0.16
43413,40989,10,0.16
37444,33876,10,0.16
47488,45284,10,0.16
50757,47883,10,0.16
40704,35845,10,0.16
45571,39524,10,0.16
18186,17839,10,0.16
41596,37281,10,0.16
55841,52219,10,0.16
31840,29333,10,0.16
43131,37434,10,0.16
38758,35449,10,0.16
43208,40366,10,0.16
50742,48377,10,0.16
45119,42040,10,0.16
53207,49663,10,0.16
39321,34784,10,0.16
46883,46881,10,0.16
33666,30388,10,0.16
50603,47714,10,0.16
43343,40005,10,0.16
18007,18007,10,0.16
52258,49971,10,0.16
27772,25724,10,0.16
55122,51263,10,0.16
51393,48166,10,0.16
56332,54180,10,0.16
19901,19534,10,0.16
53330,49000,10,0.16
15470,14699,10,0.16
34572,32360,10,0.16
25628,25049,10,0.16
38667,34714,10,0.32
44321,38505,10,0.32
48073,42689,10,0.32
49784,47950,10,0.32
35770,30854,10,0.32
45176,39620,10,0.32
50428,42881,10,0.32
47153,47087,10,0.32
39180,33166,10,0.32
41567,37107,10,0.32
13813,9774,10,0.32
33621,29488,10,0.32
43182,37660,10,0.32
45967,40438,10,0.32
43222,37671,10,0.32
46847,42143,10,0.32
59121,52254,10,0.32
25679,22737,10,0.32
37444,32828,10,0.32
43413,39959,10,0.32
