target,best_score,batch_size,mutation_rate,init_method,runtime
40704,37639,5,0.08,random,3.0000009536743164
45571,42252,5,0.08,random,3.000309944152832
18186,18186,5,0.08,random,3.000601053237915
41596,38422,5,0.08,random,3.000319004058838
55841,53404,5,0.08,random,3.000298023223877
31840,30076,5,0.08,random,3.0006332397460938
43131,38842,5,0.08,random,3.0011708736419678
38758,35601,5,0.08,random,3.0007340908050537
43208,41745,5,0.08,random,3.000920057296753
50742,48503,5,0.08,random,3.0005970001220703
45119,42537,5,0.08,random,3.0000758171081543
53207,50350,5,0.08,random,3.000430107116699
39321,35860,5,0.08,random,3.0000698566436768
33666,31680,5,0.08,random,3.000684976577759
46883,46593,5,0.08,random,3.001030206680298
50603,48437,5,0.08,random,3.000048875808716
43343,40794,5,0.08,random,3.0005180835723877
18007,18007,5,0.08,random,3.000514030456543
52258,50607,5,0.08,random,3.0006508827209473
27772,25917,5,0.08,random,3.000795841217041
51393,50067,5,0.08,random,3.0001118183135986
55122,53205,5,0.08,random,3.0009210109710693
56332,52758,5,0.08,random,3.0004217624664307
19901,19901,5,0.08,random,3.000450849533081
53330,49814,5,0.08,random,3.0001089572906494
15470,15470,5,0.08,random,3.0011329650878906
34572,32880,5,0.08,random,3.0010621547698975
25628,24511,5,0.08,random,3.000977039337158
38667,35645,5,0.16,random,3.000784158706665
44321,39847,5,0.16,random,3.000324010848999
48073,44199,5,0.16,random,3.000476121902466
49784,47627,5,0.16,random,3.0000150203704834
35770,33478,5,0.16,random,3.0009946823120117
45176,40128,5,0.16,random,3.0008089542388916
50428,47619,5,0.16,random,3.0000529289245605
47153,47105,5,0.16,random,3.000687837600708
39180,34379,5,0.16,random,3.0004961490631104
41567,39101,5,0.16,random,3.0002281665802
13813,13253,5,0.16,random,3.0002880096435547
33621,30886,5,0.16,random,3.0004990100860596
43182,37953,5,0.16,random,3.0009348392486572
45967,42166,5,0.16,random,3.000974178314209
43222,38604,5,0.16,random,3.0009169578552246
46847,44476,5,0.16,random,3.000965118408203
59121,54437,5,0.16,random,3.000372886657715
25679,23388,5,0.16,random,3.000555992126465
43413,40673,5,0.16,random,3.000114917755127
37444,32891,5,0.16,random,3.000049114227295
47488,45789,5,0.16,random,3.0007851123809814
50757,46606,5,0.16,random,3.000917911529541
40704,36734,5,0.16,random,3.0006070137023926
45571,40668,5,0.16,random,3.0003411769866943
18186,17805,5,0.16,random,3.000676155090332
41596,37911,5,0.16,random,3.0010299682617188
55841,52808,5,0.16,random,3.001028060913086
31840,28983,5,0.16,random,3.000789165496826
43131,38849,5,0.16,random,3.000507116317749
38758,35072,5,0.16,random,3.0005457401275635
43208,39365,5,0.16,random,3.001047134399414
50742,47716,5,0.16,random,3.0007898807525635
45119,41617,5,0.16,random,3.000174045562744
53207,48892,5,0.16,random,3.0003280639648438
39321,35335,5,0.16,random,3.001194953918457
46883,46778,5,0.16,random,3.0002543926239014
33666,31076,5,0.16,random,3.0007221698760986
50603,47544,5,0.16,random,3.0005831718444824
43343,38861,5,0.16,random,3.000093936920166
18007,17145,5,0.16,random,3.0003340244293213
52258,48459,5,0.16,random,3.0000669956207275
27772,25712,5,0.16,random,3.000262975692749
55122,51495,5,0.16,random,3.0000340938568115
51393,48968,5,0.16,random,3.0009520053863525
56332,52045,5,0.16,random,3.0003950595855713
19901,18753,5,0.16,random,3.000060796737671
53330,48817,5,0.16,random,3.000276803970337
15470,15102,5,0.16,random,3.0002527236938477
34572,31606,5,0.16,random,3.0005042552948
25628,25145,5,0.16,random,3.0012640953063965
38667,34161,5,0.32,random,3.0008082389831543
44321,39272,5,0.32,random,3.001106023788452
48073,43335,5,0.32,random,3.0005791187286377
49784,47930,5,0.32,random,3.000166177749634
35770,30376,5,0.32,random,3.0000970363616943
45176,39450,5,0.32,random,3.0012190341949463
50428,43158,5,0.32,random,3.0000157356262207
47153,46428,5,0.32,random,3.0007290840148926
39180,33877,5,0.32,random,3.0010721683502197
41567,38282,5,0.32,random,3.0004830360412598
13813,7995,5,0.32,random,3.000241279602051
33621,28990,5,0.32,random,3.0003771781921387
43182,37126,5,0.32,random,3.0009942054748535
45967,41804,5,0.32,random,3.0009000301361084
43222,37258,5,0.32,random,3.0008440017700195
46847,43853,5,0.32,random,3.000232219696045
59121,51688,5,0.32,random,3.000973701477051
25679,23235,5,0.32,random,3.000478982925415
43413,39645,5,0.32,random,3.000009059906006
47488,44215,5,0.32,random,3.000124931335449
37444,33045,5,0.32,random,3.000615119934082
50757,44483,5,0.32,random,3.0004448890686035
40704,36158,5,0.32,random,3.0007221698760986
45571,39102,5,0.32,random,3.0005240440368652
18186,14776,5,0.32,random,3.000800848007202
41596,37168,5,0.32,random,3.000927209854126
31840,28640,5,0.32,random,3.000964879989624
55841,51505,5,0.32,random,3.0010130405426025
43131,37941,5,0.32,random,3.0001468658447266
38758,34631,5,0.32,random,3.000941038131714
43208,40602,5,0.32,random,3.0003910064697266
50742,45872,5,0.32,random,3.000124216079712
45119,40768,5,0.32,random,3.0009636878967285
53207,47692,5,0.32,random,3.0007708072662354
39321,33377,5,0.32,random,3.000822067260742
46883,45904,5,0.32,random,3.000394105911255
33666,29716,5,0.32,random,3.000441074371338
50603,46268,5,0.32,random,3.0003979206085205
43343,39186,5,0.32,random,3.0010108947753906
18007,12819,5,0.32,random,3.000242233276367
27772,25858,5,0.32,random,3.0008010864257812
52258,50312,5,0.32,random,3.000556707382202
55122,50591,5,0.32,random,3.000030994415283
51393,47050,5,0.32,random,3.000689744949341
56332,53782,5,0.32,random,3.0005781650543213
19901,13005,5,0.32,random,3.00066876411438
53330,47356,5,0.32,random,3.0000970363616943
34572,31982,5,0.32,random,3.0008010864257812
15470,10448,5,0.32,random,3.0009891986846924
25628,22578,5,0.32,random,3.0011072158813477
38667,33511,10,0.0,random,3.0003058910369873
44321,35240,10,0.0,random,3.0011072158813477
48073,46891,10,0.0,random,3.0013279914855957
49784,49102,10,0.0,random,3.0015149116516113
45176,36212,10,0.0,random,3.0013861656188965
35770,26686,10,0.0,random,3.0020880699157715
50428,46142,10,0.0,random,3.000404119491577
47153,47087,10,0.0,random,3.001997232437134
39180,29013,10,0.0,random,3.001384973526001
41567,36624,10,0.0,random,3.002190113067627
13813,6174,10,0.0,random,3.000898838043213
43182,34705,10,0.0,random,3.000560760498047
33621,25041,10,0.0,random,3.001054048538208
45967,44057,10,0.0,random,3.0015480518341064
43222,32423,10,0.0,random,3.0003068447113037
46847,39796,10,0.0,random,3.000613212585449
59121,52391,10,0.0,random,3.0007710456848145
25679,19469,10,0.0,random,3.0021939277648926
43413,43150,10,0.0,random,3.0014731884002686
37444,27190,10,0.0,random,3.0017471313476562
47488,46359,10,0.0,random,3.001729965209961
50757,43651,10,0.0,random,3.001924991607666
40704,32147,10,0.0,random,3.0015299320220947
45571,37847,10,0.0,random,3.0003249645233154
18186,4946,10,0.0,random,3.0004940032958984
41596,34495,10,0.0,random,3.000985860824585
55841,53705,10,0.0,random,3.001063823699951
31840,24474,10,0.0,random,3.0000150203704834
43131,35719,10,0.0,random,3.001546859741211
38758,31761,10,0.0,random,3.000048875808716
43208,40088,10,0.0,random,3.0015928745269775
50742,50162,10,0.0,random,3.0017011165618896
45119,44057,10,0.0,random,3.0019848346710205
53207,49943,10,0.0,random,3.001175880432129
39321,32791,10,0.0,random,3.0007710456848145
46883,46478,10,0.0,random,3.0011491775512695
33666,24718,10,0.0,random,3.0013768672943115
50603,49466,10,0.0,random,3.001589059829712
43343,37433,10,0.0,random,3.0012359619140625
18007,10048,10,0.0,random,3.0002849102020264
52258,50968,10,0.0,random,3.002112865447998
27772,22167,10,0.0,random,3.0012059211730957
55122,53823,10,0.0,random,3.0007688999176025
51393,49236,10,0.0,random,3.0015389919281006
56332,54950,10,0.0,random,3.001114845275879
19901,7535,10,0.0,random,3.000399112701416
53330,51797,10,0.0,random,3.001307249069214
15470,6244,10,0.0,random,3.0009357929229736
34572,25755,10,0.0,random,3.0008609294891357
25628,14558,10,0.0,random,3.0009899139404297
38667,38667,10,0.01,random,3.000905990600586
44321,43969,10,0.01,random,3.00144100189209
48073,48073,10,0.01,random,3.0013058185577393
49784,49784,10,0.01,random,3.0016541481018066
35770,35770,10,0.01,random,3.0002191066741943
45176,45176,10,0.01,random,3.0010530948638916
50428,50428,10,0.01,random,3.0018529891967773
47153,47153,10,0.01,random,3.0014073848724365
39180,39180,10,0.01,random,3.0005970001220703
41567,41392,10,0.01,random,3.0003461837768555
13813,13680,10,0.01,random,3.001063823699951
33621,33192,10,0.01,random,3.001185178756714
43182,42362,10,0.01,random,3.0007641315460205
45967,45810,10,0.01,random,3.0002219676971436
43222,42992,10,0.01,random,3.0020580291748047
46847,46847,10,0.01,random,3.000427007675171
59121,59121,10,0.01,random,3.001706123352051
25679,25500,10,0.01,random,3.002171039581299
37444,36848,10,0.01,random,3.000678062438965
43413,43367,10,0.01,random,3.0015761852264404
47488,47488,10,0.01,random,3.0000011920928955
50757,50757,10,0.01,random,3.0016918182373047
40704,40223,10,0.01,random,3.001591205596924
45571,45571,10,0.01,random,3.0017499923706055
18186,17996,10,0.01,random,3.000386953353882
41596,40806,10,0.01,random,3.0006659030914307
55841,55841,10,0.01,random,3.001901149749756
31840,31830,10,0.01,random,3.002002000808716
43131,42991,10,0.01,random,3.0011239051818848
38758,38099,10,0.01,random,3.0004043579101562
43208,42974,10,0.01,random,3.000115156173706
50742,50742,10,0.01,random,3.0004191398620605
45119,44832,10,0.01,random,3.0001139640808105
53207,53207,10,0.01,random,3.000715970993042
39321,39321,10,0.01,random,3.001249074935913
46883,46883,10,0.01,random,3.0008602142333984
33666,33559,10,0.01,random,3.0010812282562256
50603,50603,10,0.01,random,3.0010716915130615
18007,17492,10,0.01,random,3.0010910034179688
43343,43343,10,0.01,random,3.001948833465576
52258,52258,10,0.01,random,3.0012741088867188
27772,27125,10,0.01,random,3.0001227855682373
55122,55122,10,0.01,random,3.0012810230255127
51393,51393,10,0.01,random,3.0017781257629395
56332,56332,10,0.01,random,3.0017940998077393
19901,19643,10,0.01,random,3.0019478797912598
53330,53023,10,0.01,random,3.002002239227295
15470,15470,10,0.01,random,3.0014448165893555
34572,34502,10,0.01,random,3.000775098800659
25628,25628,10,0.01,random,3.000688314437866
38667,38667,10,0.02,random,3.0002150535583496
44321,44065,10,0.02,random,3.002202033996582
48073,48073,10,0.02,random,3.0003058910369873
49784,49784,10,0.02,random,3.001649856567383
35770,35770,10,0.02,random,3.0022382736206055
45176,45176,10,0.02,random,3.0007660388946533
50428,50428,10,0.02,random,3.0005099773406982
47153,47153,10,0.02,random,3.002340078353882
39180,39180,10,0.02,random,3.000518798828125
41567,41413,10,0.02,random,3.000622034072876
13813,13582,10,0.02,random,3.001642942428589
33621,33158,10,0.02,random,3.0010151863098145
43182,42917,10,0.02,random,3.0008151531219482
45967,45967,10,0.02,random,3.000669002532959
43222,42992,10,0.02,random,3.0007591247558594
59121,59121,10,0.02,random,3.000153064727783
46847,46847,10,0.02,random,3.0013279914855957
25679,25212,10,0.02,random,3.0016911029815674
43413,43413,10,0.02,random,3.0013821125030518
37444,36752,10,0.02,random,3.0000898838043213
47488,47488,10,0.02,random,3.00056791305542
50757,50757,10,0.02,random,3.0000479221343994
40704,40629,10,0.02,random,3.000077247619629
45571,45476,10,0.02,random,3.0010151863098145
41596,41167,10,0.02,random,3.0001401901245117
18186,18186,10,0.02,random,3.0024991035461426
55841,55841,10,0.02,random,3.001497983932495
31840,31830,10,0.02,random,3.0015130043029785
43131,43131,10,0.02,random,3.0021708011627197
38758,38354,10,0.02,random,3.001910924911499
43208,43208,10,0.02,random,3.0016157627105713
45119,45119,10,0.02,random,3.0007762908935547
50742,50742,10,0.02,random,3.002040147781372
53207,53207,10,0.02,random,3.001919984817505
39321,38816,10,0.02,random,3.0015878677368164
46883,46883,10,0.02,random,3.0005712509155273
33666,33552,10,0.02,random,3.0011398792266846
50603,50603,10,0.02,random,3.001086950302124
18007,18007,10,0.02,random,3.000676155090332
43343,43343,10,0.02,random,3.0009491443634033
52258,52258,10,0.02,random,3.0000197887420654
27772,27666,10,0.02,random,3.000200033187866
55122,55122,10,0.02,random,3.0011491775512695
56332,56332,10,0.02,random,3.000102996826172
51393,51393,10,0.02,random,3.0019702911376953
53330,53330,10,0.02,random,3.000901937484741
19901,19901,10,0.02,random,3.0016260147094727
15470,15470,10,0.02,random,3.001899003982544
34572,34502,10,0.02,random,3.00130033493042
25628,25628,10,0.02,random,3.002187967300415
38667,37483,10,0.04,random,3.000258207321167
44321,42788,10,0.04,random,3.0002031326293945
48073,47897,10,0.04,random,3.0009210109710693
49784,49767,10,0.04,random,3.000828742980957
35770,33961,10,0.04,random,3.000947952270508
45176,43356,10,0.04,random,3.001655101776123
50428,49837,10,0.04,random,3.0008790493011475
47153,47087,10,0.04,random,3.0001590251922607
39180,37913,10,0.04,random,3.0021350383758545
41567,40556,10,0.04,random,3.000602960586548
13813,13813,10,0.04,random,3.001142978668213
33621,32973,10,0.04,random,3.0009028911590576
43182,41722,10,0.04,random,3.0001778602600098
45967,45317,10,0.04,random,3.000138998031616
43222,42075,10,0.04,random,3.00144100189209
46847,46640,10,0.04,random,3.0002729892730713
25679,24572,10,0.04,random,3.000495195388794
59121,57937,10,0.04,random,3.0018110275268555
43413,43058,10,0.04,random,3.0009348392486572
37444,36188,10,0.04,random,3.0011088848114014
47488,47410,10,0.04,random,3.000706195831299
50757,50757,10,0.04,random,3.001098155975342
40704,39219,10,0.04,random,3.0014400482177734
45571,43949,10,0.04,random,3.00075101852417
18186,18186,10,0.04,random,3.0004796981811523
41596,40274,10,0.04,random,3.0003609657287598
55841,55502,10,0.04,random,3.000978946685791
31840,30803,10,0.04,random,3.000164747238159
43131,42267,10,0.04,random,3.000379800796509
38758,37514,10,0.04,random,3.0021400451660156
43208,42946,10,0.04,random,3.000088691711426
50742,50156,10,0.04,random,3.0014679431915283
45119,44705,10,0.04,random,3.0001561641693115
53207,52514,10,0.04,random,3.0015640258789062
39321,38150,10,0.04,random,3.0009050369262695
46883,46883,10,0.04,random,3.002009153366089
50603,50603,10,0.04,random,3.000239849090576
33666,32927,10,0.04,random,3.001412868499756
43343,42631,10,0.04,random,3.0011448860168457
18007,18007,10,0.04,random,3.001098871231079
52258,52101,10,0.04,random,3.0006048679351807
27772,26980,10,0.04,random,3.003350019454956
55122,54629,10,0.04,random,3.0001981258392334
51393,51155,10,0.04,random,3.0016629695892334
56332,56332,10,0.04,random,3.0016908645629883
19901,19901,10,0.04,random,3.001538038253784
53330,52913,10,0.04,random,3.00016713142395
15470,15470,10,0.04,random,3.0004608631134033
34572,33286,10,0.04,random,3.0020830631256104
25628,25035,10,0.04,random,3.000399112701416
38667,37305,10,0.08,random,3.0000507831573486
44321,41863,10,0.08,random,3.00045108795166
48073,46430,10,0.08,random,3.0022058486938477
49784,48619,10,0.08,random,3.001361131668091
35770,33854,10,0.08,random,3.000465154647827
45176,42593,10,0.08,random,3.0003252029418945
50428,47612,10,0.08,random,3.002127170562744
39180,36898,10,0.08,random,3.0009448528289795
47153,47105,10,0.08,random,3.002086877822876
41567,40451,10,0.08,random,3.000347852706909
13813,13680,10,0.08,random,3.0010428428649902
33621,31431,10,0.08,random,3.0003581047058105
43182,40185,10,0.08,random,3.00072979927063
45967,43806,10,0.08,random,3.000797986984253
46847,44977,10,0.08,random,3.001420736312866
43222,40281,10,0.08,random,3.0024490356445312
59121,55618,10,0.08,random,3.0017518997192383
25679,24868,10,0.08,random,3.001819133758545
43413,42149,10,0.08,random,3.0012941360473633
37444,34367,10,0.08,random,3.0020039081573486
47488,45867,10,0.08,random,3.000566005706787
50757,48072,10,0.08,random,3.0016558170318604
40704,38225,10,0.08,random,3.0010149478912354
45571,42723,10,0.08,random,3.0012989044189453
18186,18186,10,0.08,random,3.0012707710266113
41596,38031,10,0.08,random,3.0014140605926514
55841,53200,10,0.08,random,3.000659942626953
31840,29500,10,0.08,random,3.0000159740448
43131,39870,10,0.08,random,3.0001792907714844
38758,36247,10,0.08,random,3.001255989074707
43208,41500,10,0.08,random,3.0019819736480713
50742,48791,10,0.08,random,3.000864028930664
45119,43036,10,0.08,random,3.0014307498931885
53207,51061,10,0.08,random,3.0016579627990723
39321,37866,10,0.08,random,3.0007526874542236
46883,46591,10,0.08,random,3.00032901763916
33666,31845,10,0.08,random,3.0005269050598145
50603,48835,10,0.08,random,3.001899003982544
43343,41305,10,0.08,random,3.0009539127349854
18007,17826,10,0.08,random,3.0001890659332275
52258,51144,10,0.08,random,3.0017459392547607
27772,26298,10,0.08,random,3.0002639293670654
55122,52748,10,0.08,random,3.0005290508270264
51393,49487,10,0.08,random,3.0008230209350586
56332,55405,10,0.08,random,3.000394105911255
19901,19901,10,0.08,random,3.001314163208008
53330,51106,10,0.08,random,3.000281810760498
15470,15373,10,0.08,random,3.0020358562469482
34572,32810,10,0.08,random,3.001976251602173
25628,25105,10,0.08,random,3.00062894821167
38667,35361,10,0.16,random,3.0008649826049805
44321,40115,10,0.16,random,3.0006959438323975
48073,45112,10,0.16,random,3.0012412071228027
49784,47808,10,0.16,random,3.000545024871826
35770,31727,10,0.16,random,3.0020711421966553
45176,41204,10,0.16,random,3.0000057220458984
50428,46992,10,0.16,random,3.0015108585357666
47153,46825,10,0.16,random,3.001455068588257
39180,34386,10,0.16,random,3.001492977142334
41567,41473,10,0.16,random,3.001826047897339
13813,13680,10,0.16,random,3.0015649795532227
33621,29536,10,0.16,random,3.00152587890625
43182,38120,10,0.16,random,3.000141143798828
45967,43141,10,0.16,random,3.0006818771362305
43222,38349,10,0.16,random,3.000211238861084
46847,43890,10,0.16,random,3.001469850540161
59121,53718,10,0.16,random,3.0012872219085693
