opcount,elapsed,optimizations,size,itype
24085,0.14229448700001512,"{'residuals', 'weight'}",22,ZR
4,3.4674999994877e-05,set(),25,NR
345847,2.2324704569999767,"{'residuals', 'weight'}",20,ZR
2047,0.012784848000023885,set(),10,NR
1,1.9839999993109814e-05,"{'residuals', 'weight'}",4,NR
65535,0.2627159810000421,set(),15,ZR
2078735,13.667827593000027,"{'residuals', 'weight'}",25,ZR
13245,0.07941850499997827,"{'residuals', 'weight'}",15,ZR
28842,0.15152206800001977,"{'residuals', 'weight'}",22,ZR
972491,6.024422952999998,"{'residuals', 'weight'}",25,ZR
31,0.00012097299998004019,set(),4,NR
1,1.5203999964796822e-05,"{'residuals', 'weight'}",15,NR
31,0.00011524399997142609,set(),4,NR
16,0.000171055000009801,"{'residuals', 'weight'}",4,ZR
1429,0.011478022999995119,"{'residuals', 'weight'}",22,NR
937753,3.7706045179999705,set(),22,NR
3,4.36070000091604e-05,set(),4,ZR
106480,1.076823305000005,"{'residuals', 'weight'}",20,ZR
8388607,39.637376717999985,set(),22,ZR
8,9.939400001712784e-05,"{'residuals', 'weight'}",10,NR
8388607,39.92496903,set(),22,ZR
2047,0.012045769999986078,set(),10,ZR
31,0.00024855499998466257,set(),4,NR
147,0.0014818870000112838,"{'residuals', 'weight'}",20,ZR
31,0.00024284900001703136,set(),4,ZR
416,0.0037772040000163543,"{'residuals', 'weight'}",10,ZR
12,0.00014556700000412093,set(),22,NR
1,2.6916000024357345e-05,"{'residuals', 'weight'}",25,NR
788491,5.185174428000039,"{'residuals', 'weight'}",22,ZR
1,2.768699999933233e-05,"{'residuals', 'weight'}",15,NR
318315,2.0472514639999986,"{'residuals', 'weight'}",22,ZR
16,0.00032749000001786044,"{'residuals', 'weight'}",25,NR
3521883,25.416230937999956,"{'residuals', 'weight'}",25,ZR
2,3.6332999968635704e-05,"{'residuals', 'weight'}",20,NR
11,0.00012366699996846364,"{'residuals', 'weight'}",4,ZR
3713,0.030669719999991685,"{'residuals', 'weight'}",15,ZR
1157,0.008718817999977091,"{'residuals', 'weight'}",15,NR
786437,3.533439284999986,set(),22,NR
551,0.002545283000017662,"{'residuals', 'weight'}",10,ZR
100289,0.6456274399999984,"{'residuals', 'weight'}",20,ZR
220181,1.376270618000035,"{'residuals', 'weight'}",20,ZR
4,4.5975999967140524e-05,"{'residuals', 'weight'}",15,NR
4,3.170900004079158e-05,"{'residuals', 'weight'}",25,NR
401777,2.3146322510000346,"{'residuals', 'weight'}",20,ZR
1,2.7748000036353915e-05,"{'residuals', 'weight'}",20,NR
41,0.0004104669999946964,"{'residuals', 'weight'}",15,ZR
17,0.0003033569999502106,"{'residuals', 'weight'}",4,ZR
4,7.23040000139008e-05,"{'residuals', 'weight'}",4,NR
2,3.1180999997104664e-05,"{'residuals', 'weight'}",4,NR
2097151,9.229447460000017,set(),20,NR
2047,0.00896013299995957,set(),10,NR
2097151,11.142000622000012,set(),20,NR
423,0.0016300660000183598,set(),15,ZR
3,6.609600001183935e-05,"{'residuals', 'weight'}",22,NR
1,2.4338999992323807e-05,"{'residuals', 'weight'}",22,NR
1,1.6314999982114387e-05,"{'residuals', 'weight'}",10,NR
2379,0.013055674999975508,set(),20,ZR
65535,0.37690054299997655,set(),15,NR
1,3.107099996668694e-05,"{'residuals', 'weight'}",20,NR
2047,0.01567222699998183,set(),10,NR
144,0.0009847839999679309,set(),10,ZR
7050491,50.684157070000026,"{'residuals', 'weight'}",25,ZR
13,0.0001639169999521073,"{'residuals', 'weight'}",22,NR
9,0.00016791500002000248,"{'residuals', 'weight'}",15,NR
2047,0.011791083999980856,set(),10,ZR
2137351,14.877467244000002,"{'residuals', 'weight'}",25,ZR
64514,0.39679728300001216,set(),15,NR
1,1.3161000026684633e-05,set(),4,NR
8388607,42.813251810999986,set(),22,NR
2097151,11.93250728299995,set(),20,NR
8749141,41.05766574900008,set(),25,ZR
11,0.00012544900005195814,"{'residuals', 'weight'}",15,NR
909,0.004018084999984239,set(),20,NR
18,0.00035783800001354393,"{'residuals', 'weight'}",22,NR
8,0.00015182300001015392,"{'residuals', 'weight'}",15,NR
8388607,39.86050136999995,set(),22,NR
6,9.00640000054409e-05,"{'residuals', 'weight'}",4,NR
2097151,9.52864277499998,set(),20,NR
8388607,42.813587364,set(),22,ZR
11,9.868000006463262e-05,set(),4,ZR
1580,0.010952088999943044,set(),20,ZR
2,3.0355000035342528e-05,set(),15,NR
67108863,317.229720436,set(),25,NR
520,0.003567234999991342,set(),10,ZR
9,0.0002563839999538686,set(),15,NR
553105,3.865465087999951,"{'residuals', 'weight'}",22,ZR
19921,0.1280760149999196,"{'residuals', 'weight'}",15,ZR
2047,0.009032662999970853,set(),10,ZR
272,0.0010944950000748577,set(),10,ZR
15,0.00016663999997490464,"{'residuals', 'weight'}",4,ZR
13499,0.09517377899999246,"{'residuals', 'weight'}",15,ZR
268919,1.9672371799999837,"{'residuals', 'weight'}",20,ZR
6,7.766799990349682e-05,set(),20,NR
52,0.00025342800006455946,set(),10,ZR
29,0.0003145739999581565,"{'residuals', 'weight'}",25,ZR
946006,4.187332031999972,set(),25,NR
449,0.004892053999924428,"{'residuals', 'weight'}",10,ZR
2097151,10.034848865999948,set(),20,NR
191,0.0012115469999116613,"{'residuals', 'weight'}",15,NR
1,2.3143000021264015e-05,"{'residuals', 'weight'}",4,NR
462,0.0023097859999552384,"{'residuals', 'weight'}",20,ZR
9,0.00010640599998623657,set(),22,NR
380,0.002162518999966778,"{'residuals', 'weight'}",22,NR
723,0.0057107909999558615,"{'residuals', 'weight'}",10,ZR
6,5.2114000027359e-05,"{'residuals', 'weight'}",4,ZR
3,3.426199998557422e-05,set(),4,NR
8,5.5069000040930405e-05,set(),4,NR
19,0.00024899800007460726,"{'residuals', 'weight'}",20,NR
16843,0.11246592899999541,"{'residuals', 'weight'}",15,ZR
21,0.0002423459999363331,"{'residuals', 'weight'}",25,ZR
2047,0.009484892000045875,set(),10,NR
10,0.00012559599997530313,set(),25,NR
133,0.0009023690000731222,set(),10,NR
1,1.6075999951681297e-05,"{'residuals', 'weight'}",4,NR
2097151,9.880315467999935,set(),20,ZR
81,0.0008831489999465703,"{'residuals', 'weight'}",10,NR
3,4.528500005562819e-05,set(),4,NR
9,0.0001651360000778368,"{'residuals', 'weight'}",4,ZR
10185,0.07541697599992858,"{'residuals', 'weight'}",15,ZR
10575,0.07233236700005818,"{'residuals', 'weight'}",15,ZR
1,1.5929000028336304e-05,"{'residuals', 'weight'}",10,NR
8,8.521399990968348e-05,set(),22,NR
1536,0.006313958999953684,set(),22,ZR
23,0.00016296299997975439,set(),4,NR
42,0.0003491230000918222,"{'residuals', 'weight'}",10,ZR
48234499,230.03359491800006,set(),25,NR
3,7.078199996612966e-05,"{'residuals', 'weight'}",25,NR
8388607,43.12967751299993,set(),22,ZR
529558,3.4084520690000772,set(),22,ZR
457,0.010255193000034524,set(),22,ZR
2,3.4884000001511595e-05,set(),22,NR
2047,0.02082836599993243,set(),10,ZR
410,0.0067483580000953225,"{'residuals', 'weight'}",10,ZR
12,0.0001732680000259279,"{'residuals', 'weight'}",25,NR
264,0.0037183259998982976,set(),10,ZR
67108863,327.45136617099996,set(),25,NR
8,0.00010109699996974086,"{'residuals', 'weight'}",25,NR
9,8.496899999954621e-05,"{'residuals', 'weight'}",10,NR
17,0.00010875199996007723,"{'residuals', 'weight'}",10,NR
10329,0.05593326000007437,set(),20,ZR
8388607,53.04099477799991,set(),22,NR
17019,0.1364667670000017,"{'residuals', 'weight'}",20,ZR
