opcount,elapsed,optimizations,size,itype
2,3.395300001329815e-05,"{'weight', 'residuals'}",4,NR
17889,0.18808676500000843,"{'weight', 'residuals'}",15,ZR
2025,0.014019684999993842,{'weight'},15,NR
62029,0.46624427099999366,{'weight'},15,ZR
979,0.009146659999998974,"{'weight', 'residuals'}",10,ZR
81416,0.5434698640000022,set(),20,NR
363,0.003437325000021474,{'residuals'},10,NR
587797,5.4657882429999916,{'residuals'},20,ZR
277526,2.4527411999999913,{'residuals'},22,ZR
23,0.0002867460000004485,{'residuals'},4,NR
10,0.0001364790000195626,{'weight'},15,NR
9597,0.09726817000000665,"{'weight', 'residuals'}",15,ZR
2047,0.01855101200001741,set(),10,ZR
26,0.0003400690000034956,{'weight'},22,NR
26443,0.32753127199998744,"{'weight', 'residuals'}",25,NR
3,4.8378999991882665e-05,set(),10,NR
288,0.0020579780000105075,set(),10,ZR
12260583,122.050166711,{'residuals'},25,ZR
7730519,76.053137663,"{'weight', 'residuals'}",25,ZR
65535,0.4970126180000136,set(),15,ZR
9,0.00012326700002063262,{'weight'},20,NR
20,0.0003254100000162907,"{'weight', 'residuals'}",22,ZR
9601,0.06683761500002561,set(),22,ZR
629,0.006688991999993732,{'residuals'},10,NR
25,0.0002125529999830178,{'weight'},4,ZR
283699,2.7794643040000153,"{'weight', 'residuals'}",20,ZR
20737,0.1799490340000034,{'residuals'},15,ZR
211127,1.811288778000005,{'residuals'},22,NR
3121,0.04110829999999055,"{'weight', 'residuals'}",25,NR
133,0.0008250680000116972,set(),10,NR
3,6.752699999879042e-05,"{'weight', 'residuals'}",25,NR
25,0.0002174760000173137,{'weight'},4,ZR
17,0.000154458999986673,{'weight'},4,NR
19537,0.15572550900000692,{'weight'},20,ZR
2812,0.019564051000003246,set(),22,ZR
276311,2.7474223049999864,"{'weight', 'residuals'}",20,ZR
33,0.00037743999999406697,"{'weight', 'residuals'}",15,ZR
21,0.00020404700001108722,{'residuals'},4,ZR
6,5.727600000682287e-05,{'weight'},10,NR
2,4.1804000005640773e-05,{'weight'},4,NR
679,0.012617736999999352,{'residuals'},22,NR
31,0.0003678820000061478,{'residuals'},4,NR
563,0.005357271000008268,"{'weight', 'residuals'}",10,ZR
827,0.007198329000004833,{'residuals'},10,ZR
15451,0.14228626500002406,{'residuals'},15,ZR
65535,0.460781905999994,set(),15,ZR
8716445,87.869293259,"{'weight', 'residuals'}",25,ZR
8388593,66.694284993,{'weight'},22,NR
1657,0.014593876999981603,{'residuals'},15,NR
982,0.007568687000002683,{'weight'},10,ZR
31,0.0005080539999937628,set(),4,NR
6808,0.06247437199999695,{'residuals'},15,ZR
